region,comuna,latitud,longitud,trazabilidad__region,trazabilidad__comuna,LER,tratamiento_n1_name,cantidad_toneladas
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,17 02 01 | Madera libre de impregnación o pinturas,Eliminación,0.028
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",Eliminación,0.03
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,20 01 01 | Papel y cartón,Eliminación,0.029
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,17 01 01 | Hormigón,Eliminación,28.0
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,17 02 01 | Madera libre de impregnación o pinturas,Eliminación,0.028
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",Eliminación,0.03
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,20 01 01 | Papel y cartón,Eliminación,0.027
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,17 02 01 | Madera libre de impregnación o pinturas,Eliminación,0.03
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",Eliminación,0.032
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,20 01 01 | Papel y cartón,Eliminación,0.028
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,17 02 01 | Madera libre de impregnación o pinturas,Eliminación,0.027
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",Eliminación,0.028
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,20 01 01 | Papel y cartón,Eliminación,0.03
Arica y Parinacota,Arica,-18.466514769614,-70.295402898935,Arica y Parinacota,Arica,17 01 01 | Hormigón,Eliminación,25.0
